customer-id;activity-segment
tzsxzqqto;new
sxjootz;new
xddzzqz;new
tjzjqtzqd;new
tzdjxqdzq;new
rxdqotst;new
stqdxsrz;new
tzdjxrsqz;new
tzrjxoolo;new
tdqtojtq;new
tzrjqxtqz;new
tzdtsqldj;new
tzodzsddt;new
dqljllq;new
tjorjxdjq;new
rtllzorz;new
tzrdzlddz;new
tztroxltx;new
tzllsttzl;new
qqsoqxoq;new
rxzzxdzz;new
tzrxltsqd;new
tzrzqddzd;new
tzrlsoxss;new
sqrtrsq;new
tzrrxsroq;new
tzdotjlqx;undefined
qqlxrorq;undefined
qjtltlrt;undefined
tjzxjsrlz;undefined
tzdzqddlx;undefined
txjqjsoot;undefined
sojqqtos;undefined
tzrxlzjtd;undefined
txjzqdqdj;undefined
qtzolzds;undefined
txqqootlq;undefined
dzozqllj;undefined
tztsdsrlr;undefined
xstqdldd;undefined
txjojxtll;undefined
ttzqlltdq;undefined
txjodxzrz;undefined
lxzdjojq;inactive
qjssxzoo;inactive
dtslqoll;inactive
osdtrql;inactive
ljsooqlt;inactive
drdlszjr;inactive
dsqtrljq;inactive
qzxrroxo;inactive
qjxlotto;inactive
qtdrqrjd;active
rdtdtdrz;inactive
sjqdzozs;inactive
sjzrjrjl;inactive
txqsrsodr;inactive
orsodrq;active
sxotosxl;inactive
slsxsqzr;inactive
sxsrjlsx;inactive
tzrltrsqo;inactive
tjozlxdro;inactive
tjdlrxqzq;inactive
tjdsjqttq;inactive
xqdlqjzo;inactive
xqoodlzq;inactive
tqlslzqxl;new
tqortxjdq;new
tqstxrtrx;new
rrzooqqx;new
xqodjtzq;new
ttslsrqrx;new
dzrrlrzr;new
tttootlos;new
rttolqzq;new
dsxdllqz;new
sllljstl;new
ttzljjosl;new
ttrtlosst;new
tqjjosoxo;new
tjtrdtjtq;new
tzjdzdllj;new
tztzrrotz;new
tzzjooqjq;new
sdqozltr;new
tzzqxrljd;new
tzzsjrllr;new
tzdsjttls;new
tzdsozoxs;new
qtqtst;undefined
tzsrjdolt;undefined
tzsrjdltr;undefined
ttsxjdlto;undefined
ttrrjldrx;undefined
slqjxxtz;undefined
tzrqdrzqz;undefined
lxzdjdrz;undefined
tqqlxtqod;undefined
ttxlzrqjo;undefined
rssoqjlx;undefined
rtxqolrt;undefined
rotrjslz;undefined
txjoxzqos;undefined
rsqrxzzr;undefined
sjxdrzst;undefined
tqzjtrjzx;undefined
tzrtszzrd;undefined
slsxsqqj;undefined
tjodtolds;undefined
oldtjzj;undefined
tjzlzxzqj;undefined
rrrjdlsj;undefined
ttqtxjtrz;undefined
ttltxjrsz;undefined
sqzsszjs;undefined
txjqssrrj;undefined
xldzzxo;undefined
tzrojxddj;undefined
dxjxqdtx;undefined
ozqszdx;undefined
txrxtttjq;undefined
sdztzdrx;undefined
ltxdloj;undefined
qjddqrox;undefined
tjdqdlqlq;undefined
sjdxozlq;undefined
szjsooqt;undefined
sqtxqtlj;undefined
ttslllrjl;undefined
tzdqrljtr;undefined
tqlsqqdtx;undefined
tjxdqdjsj;undefined
tzoqsrszr;undefined
tztrjddqo;undefined
tjqqzzqsd;undefined
ttooqjzlq;undefined
rzoltzxl;undefined
tzlqltxjt;undefined
dorjjjtx;undefined
qjqzxzsr;inactive
qjosqtzo;inactive
qjjjzzql;inactive
qqdxtszz;inactive
dqlzrqst;inactive
qjodjrjq;inactive
dtdqddls;inactive
dtozxozq;inactive
ttsxdojqx;active
dzxsjoxd;inactive
tjrdsjz;inactive
xstqdosr;active
dzsjqdsl;inactive
dlqxtjsr;inactive
djxrosso;inactive
qjztsdoo;inactive
dddzloxo;inactive
drdqotdx;inactive
drrzqsls;inactive
qzzjzdxx;inactive
qjoldzll;inactive
xozrlqlq;inactive
qzzqqtto;inactive
sorqoxqx;inactive
qxsqzdx;active
qzxrrlzx;inactive
qrdxzxo;inactive
rtojrrsz;inactive
rtdsqojd;inactive
tqjzsrjsl;active
rztxqzzz;inactive
rzzlxlxz;inactive
qqxdsqrz;inactive
ddqssjlq;inactive
qtdxqtdl;inactive
xqtrjlzj;inactive
tjrtztxlt;active
sdqxrzld;inactive
qzxjdrqz;inactive
stslsod;inactive
qqddrsor;active
qxsqzrq;active
qoqsjrl;active
xxrjldls;inactive
roqjtqzd;inactive
rotzslzx;inactive
rozrttlj;inactive
dzlxszj;active
qzqxdtol;inactive
sqjrdrjq;inactive
rdtdtrxs;inactive
rdxqlltt;inactive
rdooqtsx;inactive
zlozzrod;inactive
rddszzxs;inactive
sdsojlo;active
lqsddzsl;inactive
rrxxtdod;inactive
rrlorddd;inactive
rrxxtdlx;inactive
strxslj;inactive
rrlxzzdo;inactive
rrlsljxz;inactive
txltddtjj;inactive
zsdjdrr;active
tzjdltdoj;active
sqzdrxdq;inactive
rsorlxox;inactive
sqxrzxdl;inactive
rsrrsjtx;inactive
rssdloqz;inactive
rxsjdozx;active
lorortd;inactive
sjldrssd;inactive
rlzxtqlz;inactive
sqtozzsq;inactive
dtslqxrt;inactive
sjdjsodo;inactive
rrojxrxs;inactive
sjsojxjs;inactive
qtoqrjsd;inactive
lldqjxzd;inactive
qqoroxq;active
sjdqtsds;inactive
sqzososr;inactive
rsrrsqjl;inactive
stjrdrjz;inactive
sttjzoqs;inactive
ltltlozo;inactive
qqxdrrzj;inactive
qjssxozz;inactive
stdxtddl;inactive
tjqdjoorx;inactive
szjsoosd;inactive
szjsdsor;active
szqosrlx;inactive
szxttzts;inactive
szqxsxsl;inactive
szjsdljj;inactive
rsosojqj;active
xxddlxqr;active
sxzzozxs;inactive
sxlsdlzx;inactive
rqxoqsld;active
sljjqlzs;active
slttqslj;inactive
stzosoor;active
qjrqdjsx;active
slzzzlqt;inactive
ddqssqrd;active
ttxqossxx;inactive
rodqoltr;inactive
srzjsss;active
slsxsqdq;inactive
szqtlrq;active
sjtroxs;inactive
soldldsx;inactive
rlxrzxxj;inactive
qtxxdttt;inactive
sdtddzxr;inactive
sdzrstxt;inactive
szttslxo;inactive
tjjjtrsrj;inactive
tjjlxosjr;inactive
tjjszllrq;inactive
tjjszllll;inactive
tjqqtloqz;inactive
qqdtlrjt;inactive
tjqrllzll;inactive
tjqxrsttz;inactive
tttjodtot;active
tjtrdtdjx;inactive
tjtsjqqrx;inactive
tjzzorojt;inactive
tjzlzxzoq;inactive
slqjjjzd;active
rjtsxdod;inactive
dtjqltr;inactive
qzzosxdj;inactive
xqtqjxjl;inactive
rxrslxzo;active
rzjtqxtj;active
rxxssqjo;active
txjslxxrq;inactive
tjloqtorz;inactive
tjslsrqrt;inactive
tjlxstoqj;active
qjqdlqzt;inactive
tjlrxjqqs;inactive
tjooodjjd;inactive
sldlzrzs;active
tjozlxdtr;inactive
tjoxdlzdd;inactive
tjoxdxrzo;inactive
qtsxxxxl;inactive
tjorxxqtr;inactive
tjortdjqt;inactive
tjdqzzxjx;inactive
tqlzzlsqz;active
drdjdqt;inactive
dsorrsor;active
tztlldjrr;inactive
tqsrtqsxz;active
tjdsszzrl;inactive
tjrqxjrxz;inactive
tjstrqjjj;inactive
tjsolzlzr;inactive
tjrzozoqo;inactive
tqjsoxqoz;inactive
tqldossrl;inactive
tjsrxqxqq;inactive
tqxosxqxj;inactive
tqjtqzdsl;inactive
tqjqrqjst;inactive
tjldqxjlt;active
tjrztosss;inactive
tqqlzzlqq;inactive
tqotxjqrr;inactive
tqxojzjos;new
tqxdlqddd;new
tqoozxzqz;new
tqlsrtzlz;new
tqotrrqxz;new
tqdqzlrdo;new
ddqssjts;new
tqrqojsdo;new
tqddjtjsr;new
tzrltdlox;new
tqrjlqzzt;new
ttzdzoxtx;new
qtxjrjst;new
tqsszqslz;new
ttjlrrqsj;new
stdtqqqx;new
ttjlrsjjz;new
ttqrxxqtx;new
ttjzolrxj;new
ttjrltqro;new
ttljtxooz;new
rzqdqrqq;new
stzosorl;new
ttqjszlts;new
ttjlttxsr;new
ttqjsztsd;new
tqssrrqtd;new
soldlsrd;new
tzrltrtzj;new
tttttdjsr;new
tjdzzlsdl;new
tttjldrqd;new
ttqxjzxlo;new
tjqzxdzxo;new
tttsorrzj;new
ttjrxoztz;new
tttdrsldr;new
ljstxzzq;new
ttzjtolsj;new
tqjzjrtsq;new
slosdxzr;new
ttzqllqds;new
ttztrqxlo;new
ttztjxzod;new
ttjtxzjto;new
ttztdqxzt;new
tjddltojq;new
ttzdxqlss;new
ttzrztxqd;new
txrllotxq;new
ttzsodslx;new
ttxolltqx;new
qjjjoljj;new
ttxosrtjs;new
ttxsolxsj;new
ttxdjojrt;new
xdxsotr;new
soltdotd;new
ttzdsjrzr;new
ttxsjxtto;new
tzqtzjrll;new
tqdrqsqtx;new
rsoqdxqr;new
dqjjqsj;new
ttzojodoq;new
ttqslrdqd;new
tzlzjlqdl;new
dqljlzz;new
ttzllxjzs;new
ttoxxdrxj;new
orsosdl;new
tjxsxjdzr;new
xxddxsdj;new
ltqrdoqj;new
ttrottzdr;new
ttrtrzzlj;new
ttrdojltj;new
ttqdodlor;new
ttsttdjll;new
tjxjosorz;new
tzjototol;new
ttslzzdrq;new
ttsrtojlt;new
ttssjdzod;new
qqlrqdxl;new
tzjltqqlz;new
tzjoojtqo;new
tzjdrszlq;new
tzjrzsojs;new
tzrzsdrrt;new
tqdtqorqs;new
tzqlstqjs;new
tzqdltjqs;new
tzqrtozqo;new
tzqsrxzqq;new
tztttojzj;new
tztjlxdxr;new
ttsqodtjx;new
tztlxsjjs;new
tztlldjxd;new
tztlldqsz;new
tjsxzqj;new
tztddrzqt;new
tzzqxrzdr;new
tzdozzjjs;new
ttsjxztsj;new
tzztrzqdx;new
tzzlzdlqq;new
tjdqttddz;new
tjzszdqls;new
tztddxsqs;new
tzztzldrt;new
tzdrdszto;new
ttdxrtdzr;new
tzoqdqrqo;new
tzxlqojjs;new
ttzrqrxox;new
tqrtddrox;new
ttstrzjzx;new
tzxolrrzl;new
tzxdtqqlj;new
tqolzsqjl;new
tttjodtlq;new
tzlosdqlz;new
tzljzjzlt;new
tzlqdrloj;new
ttozslrxt;new
tzlxozrzs;new
tjotzrxsl;new
txjrxsrro;new
tzloszdrd;new
tzldtxrjr;new
tzlrdrrqr;new
xqxosjqq;new
tzlsjjxxz;new
tzlsoorxs;new
szdllts;new
qdtozol;new
tzojxdlxt;new
tzoqtoozt;new
tzotdzroq;new
tzozltsoq;new
ltzorxxq;new
tjsotlojj;new
qqrdxx;new
rtojtlqj;new
tzootsooo;new
rlxzqqjd;new
tzozltsos;new
tzdqrljls;new
ttrztzqld;new
tzxodztts;new
qqdtssqr;new
tzdsozxrj;new
tzdldjdtx;new
lsqjzxs;new
lqtlqrtr;new
tzddtsjsq;new
tqrjqdqso;new
tzdrqdoqs;new
tzdrzdlrz;new
tzdslolxd;new
tzsotxodl;new
xttosrr;new
tzrdotqlo;new
tzrllrjto;new
tzsjrjsrt;new
tzsxxrdst;undefined
tzsxzdolx;undefined
txjldxtsx;undefined
txxjosrlq;undefined
osrq;undefined
txjqssdod;undefined
txjzoozjx;undefined
txjxqsrso;undefined
txjlozoxq;undefined
tzddzszod;undefined
qqlsxxsd;inactive
dlzqzrxx;inactive
qqjtojor;inactive
doodrqxo;inactive
dsjjolrl;inactive
qqdtsszz;inactive
tzqrrjjsl;inactive
sddqstj;inactive
rlsoxjzj;inactive
sdrqsxqo;inactive
rosjjxdq;inactive
rdxrrszj;inactive
rszzzxst;inactive
rszsjzxq;inactive
xqzxrqss;inactive
sjdoxrzj;inactive
sqlotlor;inactive
sxqxzddt;inactive
rxsdqjlz;active
ttsooxort;active
ddojzst;active
sosztszj;inactive
ltzojqqo;inactive
tjdloqqrz;inactive
tjqlxzsjd;inactive
tjtotdotq;inactive
tjoqtzjdr;inactive
tjoxszdjj;inactive
qjxzjtzd;inactive
tzzqjroxt;inactive
tjdtosqxq;inactive
ojsjtzr;inactive
tttrzdqdj;active
qztozsoz;active
tjrzzosrj;inactive
tjszqqjdo;inactive
ttooosrqr;inactive
ttjtzddjx;new
tqdllddtj;new
tqdrrsrdx;new
ttqzoosqq;new
ldxlxqr;new
ttdxzdrrx;new
ttdstxjoj;new
ttrjrqqjt;new
xrrqzxt;new
ttsoxqsoj;new
tzjjzlxlj;new
tzrtszojr;new
qqorsl;new
ttsjxrqqq;new
xqtjssrz;new
tztrdzjjx;new
tzzzjxzts;new
tzxqqtosr;new
lqltxxo;new
qqoxjsoo;new
sjosoxjl;new
qoxqjjj;new
tzrzlqrss;new
tzrssjxzx;new
tzsjqztzo;new
tzsqzrzjx;undefined
tzstxdjtz;undefined
tzdlqlxld;undefined
txjxzdrdx;undefined
soldldlx;undefined
qtslqsrd;undefined
soqtdzoz;undefined
dqzrtrlq;undefined
sqtooqjo;undefined
ttqqdrrtx;undefined
tzrsoltzz;undefined
rtojzolz;undefined
txtqjtjqd;undefined
tqslrosrd;undefined
xqztdtqz;undefined
tzzlsqztl;undefined
dzoorjz;undefined
ttxqxjjod;undefined
ttrjxxljj;undefined
zdjsqr;undefined
tjotojztl;undefined
tjqqzzzjz;undefined
ttsoxjdtz;undefined
rzrortl;undefined
tjdosjxjo;undefined
tzlrztzqz;undefined
tzzsjrljr;undefined
sllotsrl;undefined
ttzrlxzxq;undefined
qjsjozos;undefined
orjjoxlo;undefined
oozlrdzo;undefined
tzrdrsdrx;undefined
tqdsqdost;undefined
rsdqsljl;undefined
tqddjqslx;undefined
rsslqjxx;undefined
rqrlqtrq;undefined
rzzlxlrx;undefined
lljzrzd;undefined
tzqtsxrjj;undefined
tzlxxjors;undefined
rxzlosjz;undefined
tztsxsrrt;undefined
sljxtslt;undefined
rlrdoqjj;undefined
tqlsdjxdl;undefined
ttjtxtjxr;undefined
stjslztz;undefined
dssstqj;undefined
tzqlsrjxt;undefined
qztrrxjd;undefined
txjjqzjzt;undefined
txjozzxjj;undefined
lxsqrljj;inactive
lxsztdll;inactive
rxddtlo;active
zlozzolx;active
dqozjrtd;inactive
qqtsqll;active
xxsxrdx;active
rltddlo;inactive
djjqqjod;inactive
lsjtjdj;active
xqrdztxl;active
dtzqxxrx;inactive
tdjstsdx;inactive
dzjjxqso;inactive
dzozqlxo;inactive
dzoddros;inactive
dzdjtjsx;inactive
djjodqzr;active
dxdtrzzr;inactive
lqoxssso;inactive
dxrrrsqt;inactive
qjltsdlx;inactive
dlltstod;inactive
dodjozxj;inactive
dxsoxqo;active
ddzzqqxz;inactive
rooljst;active
drrzjljz;inactive
drdqrrtj;inactive
dsjsjsxs;inactive
dstordlt;inactive
xotqljt;active
sdqlsrt;inactive
rqdttjsx;inactive
qjqsxjjt;inactive
rqzqrxqx;inactive
sotdttxq;inactive
rqtsjqjs;inactive
rjrtsrj;inactive
ljltdxrq;active
rztxqtot;inactive
rzxzqsqx;inactive
rzoolljs;inactive
sjrdzooq;inactive
sxrosjzj;inactive
rxtttttz;inactive
zlozzrjq;inactive
rxodzdds;inactive
rxrqsjrj;inactive
rlxqqsds;inactive
qqdqzjzj;inactive
xldzxxl;inactive
rlljdqoj;inactive
qjrrszsd;inactive
rldtotjs;inactive
rlrrlorx;inactive
rtojzdqx;inactive
tjrrtzs;inactive
qqqzqtzq;inactive
rotzslxj;inactive
rqdjodr;inactive
rozszrxs;inactive
rolzszqj;inactive
xtzrdsr;active
rosjjxlt;inactive
rosdrqxd;inactive
rosxxtsz;inactive
xqtlxszr;inactive
rdtdtrxr;inactive
qjjdrxjr;inactive
rdzjrtqx;inactive
rdzodlrl;inactive
rdxrsqtl;inactive
tzjtllqtl;active
rdrrsord;inactive
rdsoxsxq;inactive
qjdxtxr;inactive
rrltjxjj;inactive
rotlrzjd;inactive
rrltjzlx;inactive
rrojxrxx;inactive
xqddrqqd;inactive
rrsljors;inactive
rsjtjjto;inactive
rstjoxrz;inactive
ljxrjos;active
qtosrzdo;active
qtslttdo;inactive
rsdlqdot;inactive
rsdtdzll;inactive
rsroqsoq;inactive
sjzxxrxx;inactive
qjtrtloz;inactive
xqdtjxqd;inactive
sjsjqqtt;inactive
sjsdqzjl;inactive
sdzqxlz;inactive
stqzltsl;inactive
qtxjrrrl;inactive
ttzsdstxo;inactive
sqtxqjls;inactive
rsljolql;active
sqloxqdd;inactive
qqrljxox;inactive
txdlrxdzq;inactive
sqsdjlqo;inactive
sqrrxojx;inactive
tqsjzzsrx;inactive
strldlrd;inactive
tqsrxdlso;active
szlotldl;inactive
sxqxzrzj;inactive
sordjqrs;inactive
sxsrjdzl;inactive
sljxtsrd;inactive
rsxrqdds;inactive
tzljzjzdr;inactive
slsoljxs;inactive
soqqxrqq;inactive
sdootxxo;inactive
soodlltq;inactive
xqzxrzdq;inactive
tjljttlrj;active
tjjjqttlq;inactive
szdqsqq;active
qzqtzlr;inactive
stoxsrlo;inactive
ttxsxoxzq;inactive
qqolsolx;active
qjqjotjt;inactive
tqjqsrxxl;inactive
tjqzszjxo;inactive
tjjdlodjj;inactive
rxjortsl;inactive
tjqoooxtr;inactive
tjqrlqzqo;inactive
tjqstsxqz;inactive
tjtjtstxj;inactive
tjtxtdzzo;inactive
tjxllrxsq;inactive
tqxdlqoox;inactive
rxddqll;active
tjzqxllso;inactive
tjzxjssos;inactive
tjlodtzjd;inactive
tzsxtszsj;inactive
qjjdoqjl;inactive
tjzlxlrqz;inactive
qjjqqlqt;inactive
soltddqt;inactive
txxqlzrro;active
tjxqzjqoo;inactive
tjxtxqjso;inactive
tjxzxldrs;inactive
tjxzljtrx;inactive
tjjdrdjrr;inactive
tqqzrtxxs;active
tjxdorstd;inactive
tjxdordod;inactive
lojrlsrs;active
tjlztdqsr;inactive
ttoqlrtsd;inactive
tjsxldxdo;inactive
qssjxrt;inactive
tjoxqqorr;inactive
tjozlxodl;inactive
tjoxdljzq;inactive
tqqlxjxzz;inactive
tjorzlqqt;inactive
tjzlqxxzj;active
qtosrldj;inactive
tjdtosqsj;inactive
tjdqdltzr;inactive
tjxlrojzx;inactive
tjdxxtzlx;inactive
tjddjzozj;inactive
tjdrrdqdx;inactive
tjrtotojt;inactive
tjrljolqj;inactive
tjrxrqdrj;inactive
tjsxtjqrd;inactive
tjrrxojrd;inactive
tjtdosodx;active
tjsjozdoz;inactive
oxlxqs;inactive
tzzdjjxsd;active
tqqzqlstz;inactive
tqjtzljxd;inactive
tqqqjxosj;inactive
tqsjqstot;inactive
tzsxzjldl;inactive
tqxdlqqsz;new
tqlzjqojq;new
tqszjsssr;new
tjszrxltr;new
tqlqrlzox;new
tqolsrslr;new
tqlldjdll;new
ttjlzxrxd;new
tqoqlzltr;new
tqdtqxrrr;new
tqoqdjlzd;new
ttjqtjdsl;new
tqoojzxtt;new
tqorxxjdt;new
sxrdsojr;new
tqsqqtojz;new
tqdsjtzzq;new
tjdtjrxjz;new
tqrqdxxtl;new
tqrqdxzjr;new
xxddltxj;new
rsxotx;new
tqstxqsrj;new
tqssrtzdz;new
ttjzdqslx;new
ttjzlrzrs;new
ttjsjzqoq;new
ttjsxlsqt;new
ttqjrqzdt;new
ttqolxtxr;new
ttqszstqd;new
ttljtxoxt;new
tttjodztq;new
tttzolsxd;new
tttzoojxx;new
tttootloo;new
ttzodxxrl;new
ttzjstzoj;new
roqzqjrl;new
sjrrqlrs;new
ttztjoqxo;new
rrxszxt;new
ttzxxrqtj;new
qldxsxs;new
ttzljqlrt;new
olstlzj;new
ttlojxqrs;new
ttzrxqqrr;new
ttzjtoltl;new
ttxjdlqzr;new
ttxjrodqz;new
ttxqljxlq;new
